,Delta (XGB - SVM),Delta (XGB - LogReg)
Cloudy,0.003274629958035624,0.0604083452055274
Rainy,0.016590100530642582,0.05525895883053511
Snowy,0.005558532490265389,0.028718526076299877
Sunny,0.002050885881536124,0.03676359516616312
